,id,title,vote_average,year,month,genre_ids,budget,revenue,runtime,director_id
0,539,Psycho,8.434,1960,6,"[27, 53, 9648]",806947.0,32000000.0,109,2636
1,967,Spartacus,7.5,1960,10,"[36, 10752, 18, 12]",12000000.0,60000000.0,197,240
2,966,The Magnificent Seven,7.5,1960,10,"[37, 28, 12]",2000000.0,4905000.0,127,14520
3,284,The Apartment,8.214,1960,6,"[35, 18, 10749]",3000000.0,25000000.0,125,3146
4,439,La Dolce Vita,8.121,1960,2,"[35, 18]",1403473.5,19647000.0,176,4415
5,2134,The Time Machine,7.4,1960,5,"[53, 12, 14, 878, 10749]",750000.0,5902.0,103,21869
6,11167,Peeping Tom,7.4,1960,5,"[18, 27, 53]",150000.0,83957.0,101,68424
7,269,Breathless,7.555,1960,3,"[18, 80]",1403473.5,4905000.0,90,3776
8,8422,Rocco and His Brothers,8.059,1960,10,"[18, 10749, 80]",1403473.5,4905000.0,178,15127
9,11656,The Virgin Spring,7.822,1960,2,[18],1403473.5,700000.0,90,6648
10,31417,Eyes Without a Face,7.594,1960,1,"[18, 27, 53]",1403473.5,58656.0,84,37302
11,5165,L'Avventura,7.554,1960,9,"[18, 9648]",1403473.5,4905000.0,144,15189
12,12230,One Hundred and One Dalmatians,7.2,1961,1,"[12, 16, 35, 10751]",3600000.0,303000000.0,79,11429
13,1725,West Side Story,7.268,1961,12,"[80, 18, 10749]",6000000.0,43700000.0,151,1744
14,164,Breakfast at Tiffany's,7.67,1961,10,"[35, 10749, 18]",2500000.0,9500000.0,115,1927
15,990,The Hustler,7.694,1961,9,"[18, 10749]",2000000.0,7600000.0,134,14875
16,821,Judgment at Nuremberg,8.032,1961,12,"[18, 36, 10752]",3000000.0,10000000.0,179,4081
17,11878,Yojimbo,8.102,1961,4,"[18, 53]",3300000.0,10000000.0,110,5026
18,10911,The Guns of Navarone,7.3,1961,4,"[10752, 28, 12]",6000000.0,28900000.0,158,18669
19,41050,La Notte,7.9,1961,1,"[18, 10749]",3300000.0,10000000.0,122,15189
20,16372,The Innocents,7.443,1961,12,"[27, 9648]",3300000.0,1200000.0,100,25630
21,595,To Kill a Mockingbird,8.0,1962,12,[18],2000000.0,13129846.0,129,8482
22,646,Dr. No,7.001,1962,10,"[12, 28, 53]",1200000.0,59567035.0,110,9855
23,947,Lawrence of Arabia,7.999,1962,12,"[12, 36, 10752]",15000000.0,69995385.0,228,12238
24,802,Lolita,7.4,1962,6,"[18, 35, 10749]",2000000.0,9250000.0,154,240
25,10242,What Ever Happened to Baby Jane?,7.927,1962,10,"[53, 18, 27]",980000.0,13129846.0,135,18392
26,11697,The Man Who Shot Liberty Valance,7.8,1962,4,[37],3200000.0,8000000.0,123,8500
27,11349,Cape Fear,7.434,1962,4,[53],35000000.0,103000000.0,105,18669
28,9289,The Longest Day,7.6,1962,9,"[10752, 28, 18]",10000000.0,50100000.0,178,8502
29,1628,Jules and Jim,7.595,1962,1,"[18, 10749]",2100000.0,13129846.0,106,1650
30,14537,Harakiri,8.375,1962,9,"[28, 18, 36]",2100000.0,13129846.0,135,76978
31,29264,The Exterminating Angel,7.947,1962,5,"[35, 18, 14]",2100000.0,13129846.0,94,793
32,982,The Manchurian Candidate,7.5,1962,10,"[53, 18]",2200000.0,7700000.0,126,13776
33,11712,Sanjuro,7.942,1962,1,"[18, 28, 35]",2100000.0,13129846.0,96,5026
34,31442,Ivan's Childhood,7.883,1962,5,"[18, 10752]",2100000.0,13129846.0,95,8452
35,499,Cléo from 5 to 7,7.69,1962,4,"[18, 10402]",2100000.0,13129846.0,90,6817
36,1626,Vivre Sa Vie,7.761,1962,9,[18],64000.0,24517.0,84,3776
37,24188,Il Sorpasso,8.2,1962,12,"[18, 35]",2100000.0,13129846.0,105,57641
38,11576,"It's a Mad, Mad, Mad, Mad World",7.0,1963,11,"[28, 12, 35]",9400000.0,60000000.0,197,4081
39,657,From Russia with Love,7.077,1963,10,"[28, 53, 12]",2500000.0,78900000.0,115,9855
40,8095,Cleopatra,7.1,1963,6,"[18, 36, 10749]",44000000.0,71000000.0,248,10601
41,9078,The Sword in the Stone,7.255,1963,12,"[16, 10751, 14]",3000000.0,22200000.0,79,57314
42,936,The Pink Panther,6.9,1963,12,"[35, 80]",3000000.0,10878107.0,115,1927
43,5925,The Great Escape,7.9,1963,7,"[12, 18, 36, 53, 10752]",4000000.0,11700000.0,173,14520
44,571,The Birds,7.525,1963,3,[27],2500000.0,11500000.0,120,2636
45,11533,Jason and the Argonauts,7.145,1963,6,"[12, 10751, 14]",3000000.0,2100000.0,104,25558
46,422,8½,8.163,1963,2,[18],3000000.0,12587500.0,139,4415
47,4808,Charade,7.686,1963,12,"[35, 9648, 10749]",4000000.0,13475000.0,113,13284
48,12493,High and Low,8.3,1963,3,"[18, 80, 53, 9648]",250000.0,12587500.0,142,5026
49,11772,The Haunting,7.128,1963,8,[27],3000000.0,12587500.0,112,1744
50,1040,The Leopard,7.715,1963,3,[18],3000000.0,12587500.0,186,15127
51,266,Contempt,7.065,1963,10,"[18, 10749]",900000.0,528428.0,103,3776
52,658,Goldfinger,7.35,1964,9,"[12, 28, 53]",2500000.0,124881062.0,110,9915
53,391,A Fistful of Dollars,7.843,1964,9,[37],200000.0,14500000.0,99,4385
54,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.1,1964,1,"[35, 10752]",1800000.0,9500000.0,95,240
55,433,Mary Poppins,7.576,1964,12,"[35, 10751, 14]",4650000.0,103100000.0,139,5834
56,5967,The Umbrellas of Cherbourg,7.4,1964,2,"[18, 10749]",7.0,12750000.0,93,24882
57,11113,My Fair Lady,7.523,1964,10,"[10402, 35, 10749, 18]",17000000.0,72661442.0,170,14674
58,4727,Le Gendarme de Saint-Tropez,7.1,1964,9,[35],1800000.0,12750000.0,89,39138
59,704,A Hard Day's Night,7.367,1964,7,"[10402, 35]",560000.0,11000000.0,88,10586
60,506,Marnie,7.16,1964,7,"[53, 9648, 10749, 18]",2135000.0,7000000.0,130,2636
61,8073,Band of Outsiders,7.551,1964,8,"[35, 80, 18]",120000.0,182857.0,97,3776
62,1871,Fantomas,6.829,1964,11,"[35, 80, 12]",1800000.0,12750000.0,104,19639
63,660,Thunderball,6.7,1965,12,"[12, 28, 53]",5500000.0,141195658.0,130,9855
64,938,For a Few Dollars More,8.019,1965,12,[37],600000.0,15000000.0,132,4385
65,15121,The Sound of Music,7.7,1965,3,"[18, 10751, 10402, 10749]",8200000.0,286214286.0,174,1744
66,907,Doctor Zhivago,7.5,1965,12,"[18, 10749, 10752]",11000000.0,111858363.0,200,12238
67,11481,Repulsion,7.437,1965,6,"[18, 53, 27]",300000.0,126527010.5,105,3556
68,2786,Pierrot le Fou,7.431,1965,11,"[18, 10749, 80]",300000.0,126527010.5,110,3776
69,25866,The Sucker,7.367,1965,3,"[35, 80]",678948.0,126527010.5,111,11195
70,429,"The Good, the Bad and the Ugly",8.465,1966,12,[37],1200000.0,38900000.0,161,4385
71,1714,Fahrenheit 451,7.116,1966,9,"[18, 878]",1500000.0,2000000.0,113,1650
72,8290,Don't Look Now... We're Being Shot At!,7.9,1966,12,"[35, 10752]",1650000.0,3900000.0,132,11195
73,797,Persona,8.2,1966,10,[18],1650000.0,3900000.0,83,6648
74,1052,Blow-Up,7.4,1966,12,"[18, 9648, 53]",1800000.0,3900000.0,111,15189
75,10772,Django,7.219,1966,4,"[28, 37]",1650000.0,17277.0,93,49450
76,2661,Batman,6.33,1966,7,"[28, 35, 80]",1377800.0,3900000.0,105,27728
77,396,Who's Afraid of Virginia Woolf?,7.725,1966,6,[18],7500000.0,33736689.0,131,5342
78,895,Andrei Rublev,8.037,1966,12,"[18, 36]",1650000.0,24173.0,183,8452
79,5780,Torn Curtain,6.6,1966,7,[53],3000000.0,13000000.0,127,2636
80,17295,The Battle of Algiers,7.869,1966,9,"[18, 10752, 36]",800000.0,964028.0,121,90694
81,3001,How to Steal a Million,7.471,1966,7,"[35, 80, 10749]",6400000.0,4400000.0,123,10001
82,9325,The Jungle Book,7.284,1967,10,"[10751, 16, 12]",4000000.0,378000000.0,78,57314
83,667,You Only Live Twice,6.57,1967,6,"[28, 53, 12]",9500000.0,111584787.0,117,10076
84,649,Belle de Jour,7.397,1967,5,"[18, 10749]",3200000.0,45300000.0,101,793
85,903,Cool Hand Luke,7.7,1967,11,"[80, 18]",3200000.0,16217773.0,127,13859
86,1654,The Dirty Dozen,7.593,1967,6,"[28, 12, 10752]",5400000.0,45300000.0,150,18392
87,12208,Casino Royale,5.3,1967,4,"[12, 28, 35]",12000000.0,41744718.0,131,6593
88,37247,The Graduate,7.7,1967,12,"[35, 18, 10749]",3000000.0,104945305.0,106,5342
89,10633,In the Heat of the Night,7.6,1967,8,"[80, 18, 9648, 53]",2000000.0,27379978.0,109,13563
90,2433,The Young Girls of Rochefort,7.657,1967,3,"[10749, 35, 18]",3200000.0,45300000.0,126,24882
91,475,Bonnie and Clyde,7.492,1967,8,"[80, 18]",2500000.0,50700000.0,111,6448
92,1879,Guess Who's Coming to Dinner,7.572,1967,12,"[18, 35, 10749]",4000000.0,56666667.0,108,4081
93,11047,Asterix the Gaul,6.443,1967,12,"[10751, 16, 12, 35]",3200000.0,45300000.0,68,67919
94,5511,Le Samouraï,7.813,1967,10,"[80, 53, 18]",3200000.0,39481.0,105,3831
95,10227,PlayTime,7.743,1967,12,[35],3200000.0,45300000.0,115,5763
96,3053,Dance of the Vampires,6.973,1967,11,"[35, 27]",2000000.0,45300000.0,108,3556
97,17887,Barefoot in the Park,7.115,1967,5,"[35, 10749]",2000000.0,30000000.0,106,69300
98,62,2001: A Space Odyssey,8.075,1968,4,"[878, 9648, 12]",12000000.0,71923560.0,149,240
99,871,Planet of the Apes,7.653,1968,2,"[878, 12, 18, 28]",5800000.0,32589624.0,112,13265
100,335,Once Upon a Time in the West,8.289,1968,12,"[18, 37]",5000000.0,5380118.0,166,4385
101,10331,Night of the Living Dead,7.62,1968,10,"[27, 53, 878]",114000.0,30000000.0,96,14999
102,11046,Where Eagles Dare,7.55,1968,12,"[28, 12, 10752]",7700000.0,21000000.0,155,54451
103,10794,The Party,7.297,1968,4,[35],1500000.0,2900000.0,99,1927
104,4929,Hang 'em High,6.836,1968,4,[37],1800000.0,6800000.0,114,18635
105,11708,Chitty Chitty Bang Bang,6.8,1968,12,"[10751, 10402, 12, 14, 35]",10000000.0,32589624.0,144,70308
106,8069,Barbarella,5.987,1968,10,"[878, 12, 35, 14]",9000000.0,2500000.0,98,53767
107,916,Bullitt,7.16,1968,10,"[28, 80, 53, 10749, 18]",5500000.0,42300000.0,113,12804
108,805,Rosemary's Baby,7.8,1968,6,"[18, 27, 53]",3200000.0,33395426.0,138,3556
109,6003,Romeo and Juliet,7.36,1968,4,"[18, 10749]",5000000.0,38901218.0,138,24657
110,30197,The Producers,7.092,1968,3,[35],947000.0,32589624.0,88,14639
111,14136,The Love Bug,6.537,1968,12,"[35, 10751, 14]",5000000.0,51264022.0,107,5834
112,9929,Asterix and Cleopatra,6.917,1968,12,"[10751, 16, 12, 35]",5000000.0,32589624.0,72,24530
113,11356,The Odd Couple,7.507,1968,5,[35],1200000.0,44527234.0,106,69300
114,4729,The Gendarme Gets Married,6.5,1968,10,[35],5000000.0,32589624.0,90,39138
115,668,On Her Majesty's Secret Service,6.595,1969,12,"[12, 28, 53]",6000000.0,64574493.0,142,9868
116,10536,The Italian Job,7.0,1969,6,"[28, 80, 35, 53]",3000000.0,44785053.0,99,39779
117,3116,Midnight Cowboy,7.518,1969,5,[18],3600000.0,44785053.0,113,19304
118,576,The Wild Bunch,7.6,1969,6,[37],6244087.0,638641.0,145,7767
119,642,Butch Cassidy and the Sundance Kid,7.609,1969,1,[37],6000000.0,102308889.0,111,9577
120,17529,True Grit,7.4,1969,6,[37],3600000.0,31132592.0,128,37360
121,624,Easy Rider,7.076,1969,6,"[12, 18]",400000.0,60000000.0,95,2778
122,15383,Army of Shadows,8.0,1969,9,"[10752, 18, 36]",3600000.0,741766.0,145,3831
123,11485,Take the Money and Run,7.118,1969,8,"[35, 80]",1500000.0,44785053.0,85,1243
124,10112,The Aristocats,7.3,1970,12,"[16, 35, 10751, 12]",4000000.0,191000000.0,78,57314
125,1685,Beneath the Planet of the Apes,6.193,1970,4,"[12, 878, 9648]",3000000.0,18999718.0,95,18635
126,11916,Two Mules for Sister Sara,6.9,1970,3,[37],2500000.0,5050000.0,114,14773
127,9394,They Call Me Trinity,7.6,1970,12,"[28, 35, 37]",3250000.0,34354776.0,115,56033
128,11202,Patton,7.507,1970,1,"[10752, 18, 36]",12000000.0,89800000.0,172,13265
129,11589,Kelly's Heroes,7.365,1970,6,"[12, 35, 10752]",4000000.0,5200000.0,144,54451
130,9062,Love Story,6.787,1970,12,"[10749, 18]",2200000.0,136400000.0,99,133259
131,11165,Tora! Tora! Tora!,7.163,1970,1,"[18, 36, 10752]",25485000.0,37150000.0,144,2087
132,8416,The Conformist,7.68,1970,7,[18],750000.0,233493.0,108,4956
133,11040,Little Big Man,7.5,1970,12,"[12, 37, 35, 18]",15000000.0,31559552.0,139,6448
134,651,M*A*S*H,6.977,1970,2,"[35, 18, 10752]",3500000.0,81600000.0,116,9789
135,26451,Investigation of a Citizen Above Suspicion,8.197,1970,10,"[18, 53]",3250000.0,34354776.0,111,95456
136,20345,The Bird with the Crystal Plumage,7.195,1970,2,"[27, 9648, 53]",500000.0,34354776.0,96,4955
137,11657,Le Cercle Rouge,7.6,1970,10,"[53, 80, 18]",3250000.0,34354776.0,140,3831
