,id,title,vote_average,year,month,genre_ids,budget,revenue,runtime,director_id,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western
0,539,Psycho,8.434,1960,6,"[27, 53, 9648]",806947.0,32000000.0,109,2636,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,967,Spartacus,7.5,1960,10,"[36, 10752, 18, 12]",12000000.0,60000000.0,197,240,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
2,966,The Magnificent Seven,7.5,1960,10,"[37, 28, 12]",2000000.0,4905000.0,127,14520,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,284,The Apartment,8.214,1960,6,"[35, 18, 10749]",3000000.0,25000000.0,125,3146,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4,439,La Dolce Vita,8.121,1960,2,"[35, 18]",,19647000.0,176,4415,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2134,The Time Machine,7.4,1960,5,"[53, 12, 14, 878, 10749]",750000.0,5902.0,103,21869,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
6,11167,Peeping Tom,7.4,1960,5,"[18, 27, 53]",150000.0,83957.0,101,68424,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
7,269,Breathless,7.555,1960,3,"[18, 80]",,,90,3776,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,8422,Rocco and His Brothers,8.059,1960,10,"[18, 10749, 80]",,,178,15127,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
9,11656,The Virgin Spring,7.822,1960,2,[18],,700000.0,90,6648,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,31417,Eyes Without a Face,7.594,1960,1,"[18, 27, 53]",,58656.0,84,37302,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
11,5165,L'Avventura,7.554,1960,9,"[18, 9648]",,,144,15189,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
12,12230,One Hundred and One Dalmatians,7.2,1961,1,"[12, 16, 35, 10751]",3600000.0,303000000.0,79,11429,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,1725,West Side Story,7.268,1961,12,"[80, 18, 10749]",6000000.0,43700000.0,151,1744,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
14,164,Breakfast at Tiffany's,7.67,1961,10,"[35, 10749, 18]",2500000.0,9500000.0,115,1927,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,990,The Hustler,7.694,1961,9,"[18, 10749]",2000000.0,7600000.0,134,14875,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16,821,Judgment at Nuremberg,8.032,1961,12,"[18, 36, 10752]",3000000.0,10000000.0,179,4081,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
