id,title,vote_average,vote_count,release_date,year,month,genre_ids,original_language,popularity
539,Psycho,8.434,9611,1960-06-22,1960,06,"[27, 53, 9648]",en,45.419
967,Spartacus,7.5,2021,1960-10-13,1960,10,"[36, 10752, 18, 12]",en,44.258
966,The Magnificent Seven,7.5,1664,1960-10-12,1960,10,"[37, 28, 12]",en,39.267
284,The Apartment,8.214,2119,1960-06-21,1960,06,"[35, 18, 10749]",en,29.572
439,La Dolce Vita,8.121,1737,1960-02-05,1960,02,"[35, 18]",it,26.894
2134,The Time Machine,7.4,769,1960-05-25,1960,05,"[53, 12, 14, 878, 10749]",en,19.25
11167,Peeping Tom,7.4,729,1960-05-16,1960,05,"[18, 27, 53]",en,18.131
269,Breathless,7.555,1696,1960-03-16,1960,03,"[18, 80]",fr,17.802
8422,Rocco and His Brothers,8.059,537,1960-10-06,1960,10,"[18, 10749, 80]",it,16.396
11656,The Virgin Spring,7.822,566,1960-02-08,1960,02,[18],sv,14.877
31417,Eyes Without a Face,7.594,657,1960-01-11,1960,01,"[18, 27, 53]",fr,14.693
5165,L'Avventura,7.554,634,1960-09-14,1960,09,"[18, 9648]",it,13.68
12230,One Hundred and One Dalmatians,7.2,5994,1961-01-25,1961,01,"[12, 16, 35, 10751]",en,47.202
1725,West Side Story,7.268,1784,1961-12-13,1961,12,"[80, 18, 10749]",en,30.468
164,Breakfast at Tiffany's,7.67,3997,1961-10-06,1961,10,"[35, 10749, 18]",en,29.813
990,The Hustler,7.694,900,1961-09-25,1961,09,"[18, 10749]",en,27.283
821,Judgment at Nuremberg,8.032,720,1961-12-18,1961,12,"[18, 36, 10752]",en,25.879
11878,Yojimbo,8.102,1332,1961-04-25,1961,04,"[18, 53]",ja,24.229
10911,The Guns of Navarone,7.3,735,1961-04-27,1961,04,"[10752, 28, 12]",en,20.819
41050,La Notte,7.9,620,1961-01-24,1961,01,"[18, 10749]",it,17.597
16372,The Innocents,7.443,545,1961-12-15,1961,12,"[27, 9648]",en,12.095
595,To Kill a Mockingbird,8.0,2448,1962-12-20,1962,12,[18],en,42.698
646,Dr. No,7.001,3393,1962-10-07,1962,10,"[12, 28, 53]",en,37.287
947,Lawrence of Arabia,7.999,2796,1962-12-11,1962,12,"[12, 36, 10752]",en,35.734
802,Lolita,7.4,1930,1962-06-13,1962,06,"[18, 35, 10749]",en,33.043
10242,What Ever Happened to Baby Jane?,7.927,969,1962-10-12,1962,10,"[53, 18, 27]",en,25.944
11697,The Man Who Shot Liberty Valance,7.8,1048,1962-04-13,1962,04,[37],en,22.799
11349,Cape Fear,7.434,540,1962-04-12,1962,04,[53],en,22.679
9289,The Longest Day,7.6,876,1962-09-25,1962,09,"[10752, 28, 18]",en,21.968
1628,Jules and Jim,7.595,896,1962-01-23,1962,01,"[18, 10749]",fr,20.994
14537,Harakiri,8.375,898,1962-09-15,1962,09,"[28, 18, 36]",ja,20.675
29264,The Exterminating Angel,7.947,615,1962-05-16,1962,05,"[35, 18, 14]",es,16.893
982,The Manchurian Candidate,7.5,652,1962-10-24,1962,10,"[53, 18]",en,16.439
