id,budget,revenue,runtime,cast,director_id
539,806947,32000000,109,"[7301, 7302, 7303, 7304, 1936, 53010, 14063, 78902, 12500, 3641, 19781, 19111, 45525, 2223538, 1550460, 1824638, 124848, 117673, 116135, 183856, 120736, 19110, 2636, 1844168, 2492916, 117602, 71146, 151550, 1469587, 7520, 1422376, 938901, 1574696, 114962]",2636
967,12000000,60000000,197,"[2090, 3359, 14500, 10921, 14501, 7304, 3150, 13026, 14502, 14503, 14504, 4963, 14505, 8233, 14506, 7074, 14507, 2096, 2757, 14508, 14509, 1433439, 1190650, 37722, 1433453, 30898, 1178760, 1231235, 1217498, 165973, 1467009, 34101, 174356, 50575, 1214943, 105572, 562715, 1088497, 999656, 80545, 2659, 1234570, 118638, 161741, 1507184, 151463, 1468755, 138378, 1482454, 34103, 1214919, 50310, 1300131, 1062053, 178336, 178336, 7345, 185265, 217763, 1417620, 95742, 114232, 151442, 1358474, 190775, 1242437, 66226, 209585, 96302, 160426, 14256, 91218, 12431, 4130, 161824, 940651, 81973, 184662, 2097, 100790, 1061015, 100582, 1338752, 1130451, 119486, 1423324, 1364421, 5605, 151528, 15869, 38129, 1076619, 153393, 1287916, 34131, 3347, 2788, 94205, 159549, 153309, 951607, 246269, 98169, 88887, 190776, 135069, 144381, 15949, 85774, 34094, 2098, 1547818, 1591738, 1600055, 1600058, 1559631, 151511]",240
966,2000000,4905000,127,"[14528, 3265, 13565, 4960, 14060, 14529, 5563, 5789, 14532, 14533, 14534, 14531, 168083, 14530, 131055, 1221453, 1153, 19448, 168101, 2096, 3014, 13786, 123720, 15998, 83453, 30846, 103565, 94892, 151630, 103795]",14520
284,3000000,25000000,125,"[3151, 4090, 4091, 4093, 4094, 571911, 4097, 3161, 4096, 4099, 40381, 87517, 141694, 4098, 1234545, 1551605, 1250242, 16527, 120555, 98166, 1225439, 153413, 25627, 1594339, 191823, 1600501, 975597, 1598135, 1507184, 89313, 3520811, 983505, 1368758, 151891, 1581532, 2100076, 122067, 1289627]",3146
439,0,19647000,176,"[5676, 5961, 5682, 5962, 5963, 5964, 5965, 5966, 5967, 5968, 5969, 1736893, 1171344, 114417, 99514, 239910, 7710, 938895, 2462216, 2462217, 83146, 1039469, 935976, 557945, 2462219, 2462220, 6102, 102026, 6103, 101551, 2604330, 72676, 2604331, 1560722, 2604334, 2604335, 1137526, 2604336, 1082124, 2604337, 2604338, 101597, 1187745, 2604340, 2604341, 2604342, 2604343, 1074074, 2604345, 598779, 224434, 67967, 2604347, 2604348, 2604349, 2604350, 1485027, 2604351, 40893, 1137499, 2604352, 1138531, 2604353, 1183474, 2604354, 2604355, 2604356, 2604357, 2604358, 2604359, 2604360, 2604361, 1459425, 1059885, 241197, 66753, 2604362, 2604363, 2604364, 1434866, 2117106, 2604365, 1580298, 2329726, 2604366, 2218829, 2604370, 101102, 2604373, 2604374, 25820, 1535134, 1298648, 2604376, 9242, 1168942, 2604392, 1893847, 2320198, 2339283, 1872652, 2604397, 1326412, 1120097, 2604399, 54941, 2503517, 1189554, 2604400, 239341, 2604401, 2604402, 2604404, 2604405, 32378, 27166, 2604406, 1847597, 72472, 2604407, 1141264, 1064720, 2604408, 126562, 1266498, 2604409, 234575, 2604410, 2604411, 2406257, 12006, 2604412, 2604413, 43704, 2604414, 2604415, 2604416, 1549029, 114416, 2604417, 2604419, 2604420, 2604421, 2604422, 1730153, 1263078, 2604423, 2604424, 1028992, 2604426, 1181118, 1459437, 2604428, 2604429, 1549504, 119433, 2229468, 224416, 2604430, 2319523, 2604431, 2604432, 2604433, 2604434, 56721, 2198780, 3720877, 994527, 2019347, 1310050, 3982772, 3985507, 3985509]",4415
2134,750000,5902,103,"[8229, 21874, 21876, 21877, 5731, 13786, 21878, 2455851, 16417]",21869
11167,150000,83957,101,"[6251, 68422, 8227, 30141, 35315, 47395, 56875, 78940, 47549, 83909, 1135040, 1567845, 199885, 13327, 68424, 1063404, 105824, 14819, 3152899, 575814, 1243478, 2241271, 157660, 76187, 126120, 2648455, 2648456, 202183, 1226244, 2648459, 2648460, 1142310, 2356034, 2197036, 299082, 1913886, 2648464, 2648465, 101853]",68424
269,0,0,90,"[3829, 3830, 3573, 3832, 3836, 3833, 3834, 331806, 11202, 3831, 3776, 3835, 18199, 1117359, 1361844, 1513483, 2356, 34613, 38078, 1513484, 260837, 87071, 579831, 1513485, 1513486, 1513487, 18558, 1513489, 1513490, 1513491, 1513492]",3776
8422,0,0,178,"[15135, 27442, 6014, 54905, 22475, 6783, 1035580, 123910, 54906, 29544, 44110, 39165, 5476, 240912, 24708, 3836, 4962, 11188, 4959, 374218, 223966]",15127
11656,0,700000,90,"[2201, 70359, 6662, 70361, 48574, 3857, 244278, 1192603, 573295, 58305, 1114985, 321845, 1192604]",6648
